Player,Season,Points,Field Goals,FG Attempts,FG%,Three Pointers,3P Attempts,3P%,Free Throws,FT Attempts,FT%,ORB,DRB,TRB,Assists,Blocks,Steals,Turnovers,Personal Fouls
DeAndre Jordan,2017,9,3,6,.500,0,0,,3,8,.375,7,13,20,2,3,0,3,3
DeAndre Jordan,2017,18,7,10,.700,0,0,,4,11,.364,4,16,20,0,2,0,2,3
DeAndre Jordan,2017,20,9,10,.900,0,0,,2,3,.667,1,8,9,2,1,1,0,2
DeAndre Jordan,2017,7,2,4,.500,0,0,,3,8,.375,2,16,18,0,1,0,1,2
DeAndre Jordan,2017,,,,,,,,,,,,,,,,,,
DeAndre Jordan,2017,10,4,8,.500,0,0,,2,4,.500,8,12,20,1,3,2,1,3
DeAndre Jordan,2017,24,12,13,.923,0,0,,0,1,.000,3,18,21,0,2,1,0,2
DeAndre Jordan,2017,19,7,8,.875,0,0,,5,8,.625,5,10,15,2,4,2,0,1
DeAndre Jordan,2017,29,12,15,.800,0,0,,5,12,.417,6,10,16,2,2,0,1,4
DeAndre Jordan,2017,14,6,10,.600,0,0,,2,2,1.000,8,5,13,3,1,0,2,5
DeAndre Jordan,2017,7,1,1,1.000,0,0,,5,8,.625,3,9,12,4,3,0,0,2
DeAndre Jordan,2017,10,3,4,.750,0,0,,4,12,.333,6,14,20,3,0,0,2,3
DeAndre Jordan,2017,8,4,4,1.000,0,0,,0,3,.000,2,3,5,3,0,0,1,0
DeAndre Jordan,2017,6,3,3,1.000,0,0,,0,2,.000,2,10,12,2,3,2,3,4
DeAndre Jordan,2017,9,2,2,1.000,0,0,,5,8,.625,0,7,7,1,2,0,1,2
DeAndre Jordan,2017,6,2,6,.333,0,0,,2,4,.500,4,12,16,3,0,0,1,1
DeAndre Jordan,2017,9,4,6,.667,0,0,,1,2,.500,2,10,12,1,1,0,0,4
DeAndre Jordan,2017,28,12,14,.857,0,0,,4,9,.444,5,10,15,0,2,0,1,4
DeAndre Jordan,2017,4,2,5,.400,0,0,,0,0,,3,13,16,1,1,0,5,3
DeAndre Jordan,2017,10,5,7,.714,0,0,,0,2,.000,2,11,13,1,3,1,0,1
DeAndre Jordan,2017,7,3,4,.750,0,0,,1,2,.500,3,13,16,1,0,2,2,2
DeAndre Jordan,2017,17,6,12,.500,0,0,,5,8,.625,5,6,11,3,0,1,1,3
DeAndre Jordan,2017,14,7,9,.778,0,0,,0,1,.000,2,6,8,0,0,2,2,4
DeAndre Jordan,2017,20,9,10,.900,0,0,,2,4,.500,9,10,19,1,2,3,3,2
DeAndre Jordan,2017,10,5,6,.833,0,0,,0,2,.000,3,6,9,0,2,3,1,2
DeAndre Jordan,2017,,,,,,,,,,,,,,,,,,
